question,text,n_choices,w_total,best_sigma,best_sigma_cont,ll_deployed8,ll_s2,ll_s3,ll_s4,ll_s5,ll_s6,ll_s8,ll_s10,ll_s12,ll_s16,ll_s20,ll_s24,ll_s32,tv_dom,moran_dom,acl_dom,tv_wt,moran_wt,acl_wt
15,How do you pronounce Mary/merry/marry?,5,17265.84375,32.00000,32.00000,1.48984,1.74557,1.68390,1.62248,1.57395,1.53691,1.48984,1.46519,1.45240,1.44040,1.43494,1.43247,1.43015,0.13672,0.99356,40.00000,0.16558,0.98272,26.09045
16,mayonnaise,4,17488.39893,32.00000,32.00000,1.35015,1.57843,1.52032,1.46256,1.41786,1.38639,1.35015,1.33203,1.32375,1.31784,1.31531,1.31360,1.31199,0.14102,0.98693,39.00000,0.16119,0.98108,25.80563
17,"the first vowel in ""miracle""",5,18516.75098,32.00000,32.00000,1.89886,2.11696,2.06823,2.01286,1.96785,1.93586,1.89886,1.88301,1.87625,1.87032,1.86662,1.86335,1.85891,0.14118,0.98838,28.00000,0.16675,0.98004,20.80162
18,mischievous vs. mischievious,5,19080.47070,32.00000,32.00000,1.48949,1.74194,1.68048,1.61378,1.56245,1.52653,1.48949,1.47492,1.46893,1.46430,1.46180,1.46033,1.45857,0.14421,0.98555,23.00000,0.16496,0.98067,19.53022
19,"the final vowel in ""Monday,"" ""Friday,"" etc.",4,14404.40918,32.00000,32.00000,1.39122,1.68422,1.61122,1.54157,1.48633,1.44366,1.39122,1.36496,1.35240,1.34283,1.33978,1.33843,1.33683,0.13368,0.99127,34.00000,0.16123,0.98522,27.28358
20,"the second vowel in ""pajamas""",3,14147.08496,32.00000,32.00000,0.96242,1.11131,1.07814,1.04320,1.01526,0.99316,0.96242,0.94350,0.93442,0.92779,0.92557,0.92421,0.92288,0.14359,0.99164,39.00000,0.15228,0.98727,30.44752
21,pecan,8,23598.98047,32.00000,32.00000,2.01392,2.32855,2.24521,2.17216,2.11459,2.06943,2.01392,1.98813,1.97465,1.96465,1.96122,1.95844,1.95456,0.15538,0.98271,23.00000,0.17786,0.97584,17.31107
22,poem,2,13630.33984,24.00000,27.97044,0.70534,0.82478,0.79585,0.76726,0.74428,0.72607,0.70534,0.69693,0.69346,0.69105,0.69001,0.68945,0.68946,0.13445,0.99092,40.00000,0.14380,0.98713,31.84398
23,really,4,18518.75293,32.00000,32.00000,1.42688,1.67121,1.60344,1.54297,1.49704,1.46385,1.42688,1.41005,1.40313,1.39905,1.39805,1.39761,1.39731,0.14257,0.98754,26.00000,0.16324,0.98281,21.77286
24,realtor (a real estate agent),5,18452.14844,24.00000,25.23654,1.47417,1.73810,1.67568,1.61342,1.56243,1.52205,1.47417,1.45134,1.44105,1.43337,1.43141,1.43113,1.43161,0.14633,0.98493,22.00000,0.16464,0.98015,20.32533
25,"roof, room, broom, root",3,14087.39062,16.00000,17.96054,1.00631,1.19728,1.14565,1.09778,1.06448,1.03824,1.00631,0.99197,0.98559,0.98270,0.98273,0.98287,0.98279,0.13457,0.99003,40.00000,0.15346,0.98742,31.07920
26,"route (as in, ""the route from one place to another"")",6,20553.18066,32.00000,32.00000,1.69805,2.05646,1.95987,1.87003,1.80165,1.75200,1.69805,1.67343,1.66190,1.65353,1.65122,1.65027,1.64919,0.16135,0.98221,23.00000,0.17246,0.97957,23.73785
27,"the first vowel in ""syrup""",4,16698.89941,32.00000,32.00000,1.39060,1.57245,1.52096,1.47702,1.44465,1.42011,1.39060,1.37883,1.37420,1.37127,1.36982,1.36836,1.36671,0.13931,0.98849,40.00000,0.15983,0.98187,27.11997
28,"Do you pronounce ""cot"" and ""caught"" the same?",2,13176.12793,20.00000,21.78137,0.71828,0.79926,0.77425,0.75476,0.74136,0.73150,0.71828,0.71024,0.70591,0.70230,0.70154,0.70158,0.70208,0.13437,0.99070,28.00000,0.14713,0.98908,22.25516
29,almond,5,17749.13867,32.00000,32.00000,1.60220,1.91922,1.84227,1.76951,1.71001,1.66265,1.60220,1.56930,1.55232,1.53805,1.53295,1.53085,1.52904,0.13688,0.99011,40.00000,0.16900,0.97928,25.38202
30,"the ""s"" in ""anniversary""",2,11666.43994,32.00000,32.00000,0.69489,0.91084,0.86361,0.81122,0.76623,0.73176,0.69489,0.67907,0.67169,0.66595,0.66371,0.66239,0.66046,0.12763,0.99253,40.00000,0.14483,0.98906,33.60940
31,asterisk,4,16510.11572,32.00000,32.00000,1.28507,1.49287,1.44805,1.40093,1.36071,1.32717,1.28507,1.26376,1.25332,1.24505,1.24209,1.24069,1.23927,0.14128,0.98716,25.00000,0.15971,0.98215,22.70337
32,candidate,6,19282.81934,32.00000,32.00000,1.63463,1.92581,1.85238,1.78264,1.72764,1.68473,1.63463,1.60694,1.59084,1.57427,1.56989,1.56604,1.56109,0.14720,0.98486,21.00000,0.16828,0.97982,19.15055
33,"the ""s"" in ""chromosome""",4,17245.48242,32.00000,32.00000,1.22833,1.41310,1.36497,1.31836,1.28203,1.25627,1.22833,1.21562,1.20969,1.20523,1.20374,1.20307,1.20241,0.14377,0.98738,24.00000,0.15646,0.98293,20.89254
34,et cetera,5,18184.07812,32.00000,32.00000,1.59716,1.89911,1.83480,1.76462,1.70361,1.65528,1.59716,1.56852,1.55518,1.54421,1.53914,1.53596,1.53287,0.13869,0.98871,29.00000,0.17115,0.97806,19.71328
35,"the final consonant in ""garage""",4,16616.87109,24.00000,27.41278,1.25618,1.49061,1.43704,1.37833,1.33099,1.29559,1.25618,1.23798,1.22936,1.22277,1.22096,1.22054,1.22064,0.15047,0.98660,26.00000,0.16037,0.98235,21.66695
36,"the ""c"" in ""grocery""",3,14475.92480,16.00000,17.88604,0.97071,1.14586,1.10212,1.06245,1.03044,1.00320,0.97071,0.95606,0.94991,0.94618,0.94629,0.94700,0.94794,0.14105,0.99031,40.00000,0.15219,0.98561,30.65974
37,"huge, humor, humongous, human...",4,11295.44824,24.00000,26.68063,0.78940,1.02220,0.96253,0.90711,0.86450,0.83379,0.78940,0.76679,0.75816,0.75288,0.75088,0.75070,0.75080,0.12720,0.99252,40.00000,0.15125,0.98488,34.19893
38,"the ""s"" in ""nursery""",3,12919.79248,32.00000,32.00000,0.97877,1.27742,1.21650,1.15145,1.09039,1.03926,0.97877,0.95005,0.93635,0.92718,0.92449,0.92346,0.92274,0.12863,0.99212,40.00000,0.15240,0.98707,30.92052
39,"the ""s"" in the last name of Elvis Presley",2,13290.36377,16.00000,17.98711,0.68806,0.77165,0.74843,0.72728,0.71172,0.70078,0.68806,0.68144,0.67837,0.67662,0.67662,0.67699,0.67788,0.13260,0.99020,40.00000,0.14124,0.98856,32.60479
40,quarter,4,15815.21143,32.00000,32.00000,1.19884,1.39318,1.34604,1.30125,1.26532,1.23602,1.19884,1.18157,1.17413,1.16952,1.16843,1.16802,1.16773,0.13608,0.98929,27.00000,0.15802,0.98283,22.85149
41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",7,18507.59082,32.00000,32.00000,1.81986,2.19179,2.10598,2.01816,1.94670,1.89094,1.81986,1.78561,1.76844,1.75427,1.74923,1.74666,1.74431,0.14290,0.98721,23.00000,0.17583,0.98056,19.24156
42,strength,3,16493.38770,32.00000,32.00000,1.09528,1.29473,1.24205,1.19047,1.15045,1.12270,1.09528,1.08536,1.08194,1.08038,1.08017,1.08005,1.07984,0.14479,0.98730,25.00000,0.15528,0.98250,21.02848
43,"the final consonant in ""Texas""",4,12482.81250,32.00000,32.00000,1.09187,1.37864,1.30588,1.23987,1.18540,1.14190,1.09187,1.06773,1.05587,1.04699,1.04387,1.04258,1.04189,0.12948,0.99258,40.00000,0.15747,0.98617,30.99005
44,cream cheese,4,17567.46143,24.00000,27.76942,1.37982,1.62080,1.55801,1.49825,1.45327,1.42037,1.37982,1.35828,1.34784,1.33958,1.33688,1.33610,1.33616,0.14373,0.98660,24.00000,0.16284,0.98108,21.25868
45,insurance,4,14822.54492,32.00000,32.00000,1.22238,1.49028,1.41784,1.34975,1.29777,1.26206,1.22238,1.20337,1.19428,1.18756,1.18518,1.18334,1.18040,0.13291,0.99166,40.00000,0.15993,0.98395,27.23120
46,New Haven (the city in Connecticut where Yale University is located),4,16802.66406,20.00000,21.93042,1.28131,1.51588,1.45272,1.39331,1.34980,1.31851,1.28131,1.26373,1.25597,1.25058,1.24945,1.24947,1.24984,0.14478,0.98757,40.00000,0.16027,0.98239,27.34918
47,Thanksgiving,4,16088.59131,32.00000,32.00000,1.27869,1.51547,1.45034,1.39171,1.34808,1.31594,1.27869,1.26013,1.25051,1.24276,1.24059,1.23985,1.23937,0.14080,0.98867,29.00000,0.15891,0.98411,23.10044
48,umbrella,2,13224.95020,16.00000,15.17803,0.72217,0.82008,0.79251,0.76617,0.74731,0.73483,0.72217,0.71719,0.71561,0.71545,0.71584,0.71597,0.71584,0.13526,0.98982,32.00000,0.14269,0.98711,29.24850
49,I ____ her lifeless body from the pool,4,15017.91504,32.00000,32.00000,1.28232,1.56358,1.49878,1.42677,1.36787,1.32553,1.28232,1.26531,1.25761,1.25213,1.25041,1.24972,1.24850,0.13792,0.99026,26.00000,0.16136,0.98680,23.73213
50,What word(s) do you use to address a group of two or more people?,9,19579.35449,32.00000,32.00000,1.83718,2.13884,2.06974,2.00206,1.94568,1.90040,1.83718,1.80162,1.78426,1.77183,1.76802,1.76579,1.76505,0.15437,0.98716,22.00000,0.17084,0.98084,22.78168
51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",3,14188.10059,24.00000,25.83086,0.98777,1.11017,1.08424,1.05648,1.03224,1.01215,0.98777,0.97166,0.96314,0.95507,0.95155,0.95071,0.95167,0.13816,0.98837,35.00000,0.15215,0.98463,27.93623
52,"Would you say ""where are you at?"" to mean ""where are you?""",3,16944.11475,32.00000,32.00000,1.12897,1.29647,1.24603,1.20405,1.17355,1.15249,1.12897,1.11780,1.11234,1.10776,1.10614,1.10535,1.10458,0.15186,0.98562,27.00000,0.15731,0.98296,22.13394
53,"Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",3,12396.97119,32.00000,32.00000,0.89530,1.10958,1.05268,1.00409,0.96298,0.93132,0.89530,0.87768,0.86967,0.86407,0.86045,0.85786,0.85459,0.13464,0.99173,40.00000,0.15115,0.98960,38.77387
54,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore",3,12224.28516,32.00000,32.00000,0.98590,1.18853,1.15039,1.10400,1.06335,1.03091,0.98590,0.95922,0.94432,0.92811,0.91972,0.91534,0.91117,0.12949,0.99135,40.00000,0.15243,0.98968,36.53229
55,I do exclusively figurative paintings anymore,3,12462.36768,24.00000,27.52831,0.95570,1.19002,1.14379,1.09036,1.04340,1.00511,0.95570,0.92930,0.91611,0.90534,0.90197,0.90117,0.90131,0.12922,0.99197,40.00000,0.15410,0.98879,32.12716
56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,3,14467.75391,32.00000,32.00000,1.04161,1.22780,1.17946,1.13423,1.10186,1.07707,1.04161,1.02105,1.01003,1.00153,0.99938,0.99847,0.99771,0.14628,0.98740,20.00000,0.15562,0.98690,27.39433
57,Forget the nice clothes anymore (referring to babies eating messily after a certain age),3,15331.47266,20.00000,19.80642,1.09079,1.32451,1.25972,1.19874,1.15281,1.12231,1.09079,1.07684,1.07073,1.06707,1.06673,1.06714,1.06785,0.13424,0.98989,38.00000,0.15304,0.98453,28.43307
58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",12,17490.46240,16.00000,16.67199,2.08654,2.29592,2.23059,2.18015,2.14240,2.11412,2.08654,2.07535,2.06635,2.06388,2.06511,2.06670,2.06662,0.15398,0.98693,23.00000,0.16614,0.98135,24.76429
59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",12,12704.09814,32.00000,32.00000,2.39517,2.73124,2.64556,2.55962,2.49194,2.44531,2.39517,2.37070,2.35801,2.34772,2.34111,2.33950,2.33878,0.18513,0.97688,15.00000,0.19711,0.96850,12.01523
60,What do you call the area of grass between the sidewalk and the road?,9,18178.41504,32.00000,32.00000,1.85682,2.23438,2.15468,2.06962,1.99674,1.93680,1.85682,1.81642,1.79141,1.76705,1.75406,1.74748,1.74178,0.12984,0.98911,40.00000,0.17615,0.98002,25.66248
61,What do you call the area of grass that occurs in the middle of some streets?,7,19969.19434,32.00000,32.00000,1.76844,2.08869,2.01381,1.93939,1.88020,1.83331,1.76844,1.73410,1.71763,1.70504,1.70082,1.69836,1.69591,0.15707,0.98371,16.00000,0.17355,0.97924,20.61403
62,What do you call the long narrow place in the middle of a divided highway?,10,15537.69238,32.00000,32.00000,1.70096,1.98400,1.92503,1.86028,1.80390,1.75919,1.70096,1.67353,1.65749,1.64530,1.64044,1.63812,1.63763,0.12979,0.99087,40.00000,0.16647,0.97689,27.06123
63,What do you call the drink made with milk and ice cream?,6,10224.07568,20.00000,20.48813,0.49008,0.61997,0.58821,0.55731,0.53041,0.51096,0.49008,0.47945,0.47056,0.45743,0.45582,0.45680,0.46090,0.12722,0.99274,40.00000,0.14116,0.98844,36.63581
64,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?",11,16886.96338,32.00000,32.00000,1.94324,2.23427,2.16424,2.09374,2.03472,1.98956,1.94324,1.92357,1.91616,1.90770,1.90311,1.90124,1.90094,0.13249,0.99012,40.00000,0.16886,0.97882,25.28656
65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,6,16064.30859,32.00000,32.00000,1.26327,1.48179,1.42256,1.37827,1.33867,1.30433,1.26327,1.24288,1.22509,1.21317,1.20732,1.20272,1.19822,0.14772,0.98708,23.00000,0.15994,0.98238,25.48140
66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,8,18432.90723,24.00000,22.82422,1.56881,1.83860,1.76604,1.70261,1.65112,1.61310,1.56881,1.54817,1.53924,1.53324,1.53179,1.53170,1.53284,0.15307,0.98171,18.00000,0.16793,0.98033,20.42388
67,What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,12,14658.07373,12.00000,13.03143,1.81009,1.96067,1.92366,1.88758,1.85777,1.83446,1.81009,1.80601,1.80327,1.80589,1.81109,1.81516,1.82010,0.13191,0.99204,40.00000,0.15602,0.98655,31.90243
68,What nicknames do/did you use for your maternal grandmother?,7,18585.08496,32.00000,32.00000,1.75883,2.14433,2.04325,1.95350,1.88223,1.82773,1.75883,1.72379,1.70608,1.69127,1.68510,1.68115,1.67675,0.14834,0.98866,26.00000,0.17797,0.97791,19.42364
69,What about your paternal grandmother (is there a distinction?),6,19458.29102,32.00000,32.00000,1.71997,2.07763,1.98105,1.89393,1.82603,1.77659,1.71997,1.69326,1.68056,1.67178,1.66948,1.66802,1.66566,0.15186,0.98656,24.00000,0.17547,0.97845,18.94907
70,What do/did you call your maternal grandfather?,7,20113.57520,32.00000,32.00000,1.77378,2.11686,2.04103,1.96121,1.89304,1.83869,1.77378,1.74353,1.72924,1.71686,1.71034,1.70717,1.70483,0.15549,0.98122,20.00000,0.17694,0.97852,17.49491
71,paternal grandfather?,5,16797.81396,32.00000,32.00000,1.33591,1.56662,1.50557,1.44956,1.40492,1.37354,1.33591,1.31740,1.30810,1.30017,1.29624,1.29338,1.29036,0.15115,0.98105,22.00000,0.16375,0.98095,20.46429
72,What do you call the big clumps of dust that gather under furniture and in corners?,6,15063.74609,32.00000,32.00000,1.32871,1.55745,1.50001,1.44892,1.40847,1.37512,1.32871,1.30277,1.29001,1.27925,1.27418,1.27150,1.26768,0.13518,0.99067,40.00000,0.16341,0.98065,28.91454
73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",11,19084.40332,32.00000,32.00000,2.09278,2.42962,2.34898,2.27521,2.21211,2.15891,2.09278,2.06286,2.04928,2.03890,2.03573,2.03397,2.03390,0.14481,0.99087,40.00000,0.17324,0.97884,23.45349
74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,12,21158.06738,20.00000,18.94471,2.22632,2.52927,2.44645,2.37138,2.31337,2.27160,2.22632,2.20540,2.19592,2.19007,2.18973,2.19085,2.19301,0.15513,0.98241,23.00000,0.17685,0.97199,17.31557
75,What do you call the wheeled contraption in which you carry groceries at the supermarket?,8,16050.94141,32.00000,32.00000,1.47674,1.75163,1.67286,1.60957,1.56271,1.52539,1.47674,1.44943,1.43514,1.42489,1.41764,1.41226,1.41186,0.13807,0.98955,28.00000,0.16175,0.98298,25.17954
76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,9,17791.57324,32.00000,32.00000,1.71461,2.02816,1.95070,1.87872,1.81834,1.77001,1.71461,1.68965,1.67467,1.66341,1.65926,1.65610,1.64642,0.15282,0.98526,21.00000,0.17301,0.97946,23.47754
77,What do you call the activity of driving around in circles in a car?,4,12578.57080,32.00000,32.00000,0.97675,1.21810,1.16700,1.11399,1.06705,1.02639,0.97675,0.95359,0.93984,0.92762,0.92279,0.91974,0.91477,0.13139,0.99230,40.00000,0.15859,0.98620,30.35770
78,What do you call paper that has already been used for something or is otherwise imperfect?,4,17163.32715,32.00000,32.00000,1.30983,1.54033,1.48071,1.42458,1.38106,1.34903,1.30983,1.29001,1.28053,1.27329,1.27059,1.26889,1.26693,0.15504,0.98195,22.00000,0.15930,0.98119,19.69599
79,What is your *general* term for a big road that you drive relatively fast on?,10,19735.95703,32.00000,32.00000,2.01149,2.39821,2.30746,2.21548,2.13778,2.07649,2.01149,1.98606,1.97607,1.96937,1.96605,1.96368,1.96204,0.13373,0.99041,37.00000,0.17900,0.97598,20.50709
80,What do you call it when rain falls while the sun is shining?,9,16139.03223,32.00000,32.00000,1.48642,1.79054,1.71057,1.64122,1.58760,1.54404,1.48642,1.45553,1.43905,1.41805,1.40972,1.40527,1.40106,0.13467,0.99080,40.00000,0.16638,0.98450,28.97195
81,"When you are cold, and little points of skin begin to come on your arms and legs, you have-",8,12855.37158,32.00000,32.00000,1.30685,1.62254,1.54702,1.47196,1.40585,1.35872,1.30685,1.28407,1.27394,1.25927,1.24972,1.24402,1.24112,0.13001,0.99198,40.00000,0.15947,0.98380,32.08660
82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",12,21412.41895,32.00000,32.00000,2.33487,2.71198,2.62341,2.53766,2.46555,2.40767,2.33487,2.30029,2.28590,2.27177,2.26493,2.26043,2.25672,0.15411,0.98283,19.00000,0.18639,0.97095,14.06483
83,What do you call an easy course?,7,16290.27148,32.00000,32.00000,1.52375,1.82490,1.74594,1.67658,1.62092,1.57805,1.52375,1.49533,1.48361,1.47464,1.47025,1.46589,1.45591,0.15412,0.98179,20.00000,0.16897,0.98229,21.19777
84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,7,19980.03906,32.00000,32.00000,1.80910,2.16916,2.07549,1.98650,1.91891,1.86982,1.80910,1.77538,1.75832,1.74393,1.73812,1.73511,1.73236,0.15438,0.98559,26.00000,0.17710,0.98042,20.40956
85,What is the thing that women use to tie their hair?,6,20516.31445,32.00000,32.00000,1.66905,1.95944,1.88351,1.81012,1.75514,1.71645,1.66905,1.64353,1.63062,1.61959,1.61613,1.61448,1.61168,0.15242,0.98356,22.00000,0.17155,0.97906,18.98307
86,Do you use the word cruller?,3,16448.51172,32.00000,32.00000,1.11299,1.29718,1.24591,1.20288,1.16863,1.14282,1.11299,1.09926,1.09313,1.08872,1.08747,1.08687,1.08629,0.14587,0.98667,28.00000,0.15622,0.98439,23.72014
87,"Do you use the term ""bear claw"" for a kind of pastry?",3,15322.58789,24.00000,27.46199,1.04176,1.21932,1.16904,1.12401,1.09152,1.06821,1.04176,1.03024,1.02516,1.02139,1.01993,1.01928,1.01941,0.14224,0.98751,25.00000,0.15287,0.98372,23.24413
88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,7,20704.60449,32.00000,32.00000,1.83854,2.20810,2.11406,2.02195,1.94939,1.89693,1.83854,1.81006,1.79494,1.78112,1.77486,1.77127,1.76778,0.15851,0.98073,20.00000,0.17743,0.97646,17.33802
89,"Can you call coleslaw ""slaw""?",5,17070.71533,24.00000,26.53200,1.38366,1.64861,1.58817,1.52984,1.47958,1.43697,1.38366,1.35854,1.34758,1.34113,1.33990,1.33938,1.33972,0.14032,0.98818,40.00000,0.16544,0.98091,25.61365
90,What do you call the box you bury a dead person in?,4,17079.12939,32.00000,32.00000,1.40278,1.68837,1.60872,1.53880,1.48666,1.44815,1.40278,1.38139,1.37188,1.36532,1.36378,1.36337,1.36331,0.14266,0.98731,23.00000,0.16361,0.98073,24.42661
91,"Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",5,15216.33984,32.00000,32.00000,1.35106,1.64692,1.57707,1.50652,1.44912,1.40635,1.35106,1.32633,1.31561,1.30913,1.30726,1.30624,1.30409,0.13421,0.98970,32.00000,0.16573,0.98488,24.45286
92,What do you call it when a driver changes over one or more lanes way too quickly?,3,12115.34033,20.00000,20.24377,1.00542,1.28762,1.23565,1.17253,1.11563,1.06630,1.00542,0.97874,0.96778,0.96125,0.96046,0.96108,0.96272,0.13262,0.99021,40.00000,0.15874,0.98332,30.85580
93,"When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",5,11642.85303,32.00000,32.00000,0.96085,1.12293,1.08628,1.05178,1.02542,1.00051,0.96085,0.93337,0.91840,0.90600,0.90067,0.89725,0.89396,0.12835,0.99266,40.00000,0.15316,0.98499,33.43472
94,"Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",6,18767.68945,32.00000,32.00000,1.49740,1.72525,1.66649,1.60791,1.56341,1.53261,1.49740,1.47889,1.46805,1.45799,1.45411,1.45257,1.45209,0.16725,0.97857,18.00000,0.16793,0.98012,19.22430
95,"What is ""the City""?",6,14824.99072,32.00000,32.00000,1.31449,1.52271,1.47202,1.42714,1.39094,1.35799,1.31449,1.29200,1.27810,1.26876,1.26448,1.26161,1.25906,0.15275,0.98543,22.00000,0.16533,0.98250,22.46688
96,What is the distinction between dinner and supper?,7,21185.62305,32.00000,32.00000,1.90839,2.30006,2.20232,2.10901,2.03573,1.97966,1.90839,1.87208,1.85480,1.84173,1.83697,1.83422,1.83139,0.15510,0.98474,24.00000,0.17924,0.97659,18.78366
97,Which of these terms do you prefer?,6,17906.34082,32.00000,32.00000,1.51776,1.77929,1.71931,1.65910,1.61302,1.57448,1.51776,1.48530,1.46848,1.45593,1.45188,1.45022,1.44882,0.14905,0.98449,25.00000,0.16717,0.97955,20.23181
98,Which of these terms do you prefer?,5,15794.61963,32.00000,32.00000,1.51323,1.83947,1.75969,1.68356,1.62109,1.57275,1.51323,1.48453,1.47134,1.46210,1.45893,1.45749,1.45680,0.13333,0.99110,40.00000,0.17307,0.98072,25.42026
99,Which of these terms do you prefer for the small road parallel to the highway?,8,20390.03613,32.00000,32.00000,1.85035,2.17667,2.08867,2.00651,1.94209,1.89685,1.85035,1.82822,1.81677,1.80702,1.80329,1.80191,1.80150,0.16578,0.98470,18.00000,0.17450,0.97875,18.29464
100,Do you cut or mow the lawn or grass?,5,16404.24414,32.00000,32.00000,1.43644,1.71274,1.62866,1.56196,1.51261,1.47682,1.43644,1.41679,1.40840,1.40227,1.39935,1.39651,1.39247,0.14219,0.98903,25.00000,0.16534,0.98205,24.15384
101,Do you pass in homework or hand in homework?,5,15507.35645,16.00000,17.88442,1.38710,1.68766,1.61210,1.54339,1.48726,1.44300,1.38710,1.35951,1.34841,1.34274,1.34291,1.34370,1.34410,0.13655,0.99067,40.00000,0.16779,0.97995,26.75584
