question,slug,url,text,image_urls,n_images
40,q40-what-do-you-call-the-level-of-a-building-that-is-partly-or-entirely-underground,https://dialectsurvey.wordpress.com/2018/10/24/q40-what-do-you-call-the-level-of-a-building-that-is-partly-or-entirely-underground/,What do you call the level of a building that is partly or entirely underground?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-5.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-40-6.png,6
49,q49-what-temperature-is-tea-2,https://dialectsurvey.wordpress.com/2020/11/13/q49-what-temperature-is-tea-2/,What temperature is “tea”?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.49.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.49.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.49.3-1.png,3
51,q51-how-do-you-pronounce-the-second-vowel-in-again,https://dialectsurvey.wordpress.com/2018/10/17/q51-how-do-you-pronounce-the-second-vowel-in-again/,How do you pronounce the second vowel in again?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-51-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-51-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-51-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-51-4.png,4
52,q52-how-do-you-pronounce-arent,https://dialectsurvey.wordpress.com/2018/10/17/q52-how-do-you-pronounce-arent/,How do you pronounce aren’t?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-52-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-52-2.png,2
54,q54-how-do-you-pronounce-bury,https://dialectsurvey.wordpress.com/2019/08/14/q54-how-do-you-pronounce-bury/,How do you pronounce bury?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.54.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.54.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.54.3.png,3
55,q55-how-do-you-pronounce-the-vowel-in-cant-as-in-i-cant-do-that,https://dialectsurvey.wordpress.com/2019/08/14/q55-how-do-you-pronounce-the-vowel-in-cant-as-in-i-cant-do-that/,How do you pronounce the vowel in can’t (as in “I can’t do that”)?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.55.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.55.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.55.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.55.4.png,4
56,q56-how-do-you-pronounce-the-vowel-in-catch,https://dialectsurvey.wordpress.com/2019/08/14/q56-how-do-you-pronounce-the-vowel-in-catch/,How do you pronounce the vowel in catch?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.56.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.56.2.png,2
63,q63-how-do-you-pronounce-sure,https://dialectsurvey.wordpress.com/2020/11/14/q63-how-do-you-pronounce-sure/,How do you pronounce sure?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.63.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.63.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.63.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.63.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.63.5.png,5
65,q65-how-do-you-pronounce-the-vowel-sound-in-tour,https://dialectsurvey.wordpress.com/2020/11/13/q65-how-do-you-pronounce-the-vowel-sound-in-tour/,How do you pronounce the vowel sound in tour?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.65.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.65.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.65.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.65.4.png,4
67,q67-how-do-you-pronounce-the-vowel-in-youre-as-in-im-not-in-trouble-youre-in-trouble,https://dialectsurvey.wordpress.com/2018/10/18/q67-how-do-you-pronounce-the-vowel-in-youre-as-in-im-not-in-trouble-youre-in-trouble/,"How do you pronounce the vowel in you’re, as in “I’m not in trouble, you’re in trouble.”",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-67-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-67-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-67-3.png,3
71,q71-how-do-you-pronounce-strength,https://dialectsurvey.wordpress.com/2020/11/14/q71-how-do-you-pronounce-strength/,How do you pronounce strength?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.71.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.71.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.71.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.71.4.png,4
73,q73-how-do-you-pronounce-vehicle,https://dialectsurvey.wordpress.com/2020/10/21/q73-how-do-you-pronounce-vehicle/,How do you pronounce vehicle?</B>,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/10/heatmap.73.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/10/heatmap.73.2.png,2
75,q75-how-do-you-pronounce-the-th-in-without,https://dialectsurvey.wordpress.com/2020/10/21/q75-how-do-you-pronounce-the-th-in-without/,How do you pronounce the “th” in without?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/10/heatmap.75.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/10/heatmap.75.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/10/heatmap.75.3.png,3
76,q76-how-do-you-pronounce-address-the-noun-as-in-my-address-is-247-front-street,https://dialectsurvey.wordpress.com/2018/10/17/q76-how-do-you-pronounce-address-the-noun-as-in-my-address-is-247-front-street/,"How do you pronounce address (the noun, as in “My address is 247 Front Street”)?",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-76-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-76-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-76-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-76-4.png,4
77,q77-how-do-you-pronounce-adult,https://dialectsurvey.wordpress.com/2018/10/17/q77-how-do-you-pronounce-adult/,How do you pronounce adult?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-77-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-77-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-77-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-77-4.png,4
84,q84-what-do-you-call-the-little-sweet-pellets-that-you-might-put-on-ice-cream,https://dialectsurvey.wordpress.com/2020/04/13/q84-what-do-you-call-the-little-sweet-pellets-that-you-might-put-on-ice-cream/,What do you call the little sweet pellets that you might put on ice cream?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.1-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.2-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.3-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.4-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.5-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.6-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.7-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.8.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.9.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.10.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/04/heatmap.84.11.png,11
88,q88-what-do-you-call-an-enclosed-structure-that-you-park-your-car-in-beside-your-house-or-attached-to-it,https://dialectsurvey.wordpress.com/2019/08/14/q88-what-do-you-call-an-enclosed-structure-that-you-park-your-car-in-beside-your-house-or-attached-to-it/,"What do you call an enclosed structure that you park your car in, beside your house or attached to it?",https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.88.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.88.2.png,2
92,q92-what-term-do-you-use-to-refer-to-something-that-is-across-both-streets-from-you-at-an-intersection-or-diagonally-across-from-you-in-general,https://dialectsurvey.wordpress.com/2019/08/14/q92-what-term-do-you-use-to-refer-to-something-that-is-across-both-streets-from-you-at-an-intersection-or-diagonally-across-from-you-in-general/,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.5.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.6.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.7.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.8.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.92.9.png,9
94,q94-97-usage-of-positive-anymore,https://dialectsurvey.wordpress.com/2018/10/17/q94-97-usage-of-positive-anymore/,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore.",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-94-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-94-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-94-3.png,3
95,q94-97-usage-of-positive-anymore,https://dialectsurvey.wordpress.com/2018/10/17/q94-97-usage-of-positive-anymore/,I do exclusively figurative paintings anymore.,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-95-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-95-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-95-3.png,3
96,q94-97-usage-of-positive-anymore,https://dialectsurvey.wordpress.com/2018/10/17/q94-97-usage-of-positive-anymore/,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-96-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-96-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-96-3.png,3
97,q94-97-usage-of-positive-anymore,https://dialectsurvey.wordpress.com/2018/10/17/q94-97-usage-of-positive-anymore/,Forget the nice clothes anymore (referring to babies eating messily after a certain age),https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-97-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-97-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-97-3.png,3
98,q98-in-speech-would-you-abbreviate-the-word-avenue-to-ave-rhyming-with-have-in-the-name-of-a-street,https://dialectsurvey.wordpress.com/2018/10/17/q98-in-speech-would-you-abbreviate-the-word-avenue-to-ave-rhyming-with-have-in-the-name-of-a-street/,"In speech, would you abbreviate the word “avenue” to “ave” (rhyming with “have” in the name of a street? (For example, “Follow Washington Ave to Main Street.”)",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-98-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-98-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-98-3.png,3
100,q100-would-you-say-shut-the-lights-or-close-the-lights-to-mean-turn-off-the-lights,https://dialectsurvey.wordpress.com/2020/11/13/q100-would-you-say-shut-the-lights-or-close-the-lights-to-mean-turn-off-the-lights/,Would you say “shut the lights” or “close the lights” to mean “turn off the lights?”,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.100.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.100.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.100.3-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.100.4-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.100.5-1.png,5
101,q101-how-do-you-pronounce-the-third-vowel-in-appalachian,https://dialectsurvey.wordpress.com/2018/10/17/q101-how-do-you-pronounce-the-third-vowel-in-appalachian/,How do you pronounce the third vowel in Appalachian?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-101-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-101-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-101-3.png,3
102,q102-how-do-you-pronounce-caramel,https://dialectsurvey.wordpress.com/2019/08/14/q102-how-do-you-pronounce-caramel/,How do you pronounce caramel?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.102.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.102.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.102.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.102.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.102.5.png,5
113,q113-how-do-you-pronounce-the-first-vowel-in-treasure,https://dialectsurvey.wordpress.com/2020/11/13/q113-how-do-you-pronounce-the-first-vowel-in-treasure/,How do you pronounce the first vowel in treasure?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.113.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.113.2.png,2
114,q114-how-do-you-pronounce-the-first-vowel-in-zero,https://dialectsurvey.wordpress.com/2018/10/17/q114-how-do-you-pronounce-the-first-vowel-in-zero/,How do you pronounce the first vowel in zero?,https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-114-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-114-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-114-3.png,3
123,q123-what-about-used-to-could-to-mean-used-to-be-able-to-as-in-i-used-to-could-recite-the-entire-poem-from-memory,https://dialectsurvey.wordpress.com/2020/11/13/q123-what-about-used-to-could-to-mean-used-to-be-able-to-as-in-i-used-to-could-recite-the-entire-poem-from-memory/,What about “used to could” to mean “used to be able to” (as in “I used to could recite the entire poem from memory”)?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.123.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.123.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.123.3.png,3
130,q130-what-do-you-use-to-address-a-group-of-two-or-more-people-as-in-what-are-__-doing,https://dialectsurvey.wordpress.com/2018/10/19/q130-what-do-you-use-to-address-a-group-of-two-or-more-people-as-in-what-are-__-doing/,"What do you use to address a group of two or more people (as in, “what are … doing?”)?",https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-5.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-6.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-7.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-8.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2018/10/heatmap-130-9.png,9
133,q133-what-do-you-call-the-little-conglomerations-of-fried-potato-with-breading-on-the-outside-that-you-might-eat-in-a-school-cafeteria,https://dialectsurvey.wordpress.com/2020/11/13/q133-what-do-you-call-the-little-conglomerations-of-fried-potato-with-breading-on-the-outside-that-you-might-eat-in-a-school-cafeteria/,What do you call the little conglomerations of fried potato with breading on the outside that you might eat in a school cafeteria?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.133.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.133.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.133.3-1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.133.4-1.png,4
136,q136-what-do-you-call-the-long-item-of-furniture-with-space-for-three-or-four-people,https://dialectsurvey.wordpress.com/2020/11/14/q136-what-do-you-call-the-long-item-of-furniture-with-space-for-three-or-four-people/,What do you call the long item of furniture with space for three or four people?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.5.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.6.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.136.7.png,7
137,q137-what-do-you-call-the-thing-that-you-put-pots-and-pans-on-to-cook,https://dialectsurvey.wordpress.com/2020/11/14/q137-what-do-you-call-the-thing-that-you-put-pots-and-pans-on-to-cook/,What do you call the thing that you put pots and pans on to cook?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.137.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.137.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.137.3.png,3
138,q138-what-do-you-call-the-thing-from-which-you-might-drink-water-in-a-school,https://dialectsurvey.wordpress.com/2019/08/14/q138-what-do-you-call-the-thing-from-which-you-might-drink-water-in-a-school/,What do you call the thing from which you might drink water in a school?,https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.138.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.138.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.138.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.138.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2019/08/heatmap.138.5.png,5
140,q140-what-do-you-call-it-when-rain-falls-while-the-sun-is-shining,https://dialectsurvey.wordpress.com/2020/11/14/q140-what-do-you-call-it-when-rain-falls-while-the-sun-is-shining/,What do you call it when rain falls while the sun is shining?,https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.1.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.2.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.3.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.4.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.5.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.6.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.7.png;https://dialectsurvey.wordpress.com/wp-content/uploads/2020/11/heatmap.140.8-1.png,8
